shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft,hang_time_s,landing_speed_mps,landing_angle_deg,initial_re,initial_spin_ratio,initial_cd,initial_cl,peak_cl,carry_only_yd
5iron,5iron.json,102.10,17.40,1.50,5391.0,12.30,5266.0,1151.0,143.7,154.3,10.7,64.6,4.86,23.86,45.06,124951.4,0.263855,0.223365,0.298854,0.298854,143.7
approach_mid_iron_test_shot,approach_mid_iron_test_shot.json,93.90,22.90,-2.60,5375.0,2.00,5375.0,0.0,125.8,136.4,10.6,64.6,4.66,22.98,47.03,114916.1,0.286081,0.227772,0.251433,0.268000,125.8
approach_test_shot,approach_test_shot.json,81.05,30.50,1.35,10489.8,5.74,10454.8,699.3,92.5,93.3,0.9,64.0,4.43,20.23,50.62,99195.9,0.646073,0.312878,0.261523,0.310921,92.5
bump_and_run,bump_and_run.json,58.27,15.57,-0.85,1850.1,2.31,1700.4,75.7,34.7,34.5,-0.2,8.0,1.43,20.83,18.52,71314.6,0.145977,0.336605,0.122924,0.122924,34.7
bump_and_run_slow,bump_and_run_slow.json,30.27,15.57,-0.85,1850.1,2.31,1700.4,75.7,10.0,27.1,17.0,2.2,0.73,12.54,16.52,37047.8,0.280996,0.484456,0.002156,0.002156,10.0
bump_test_shot,bump_test_shot.json,78.27,5.57,-0.85,1850.1,2.31,1700.4,75.7,36.9,86.8,49.9,3.0,1.05,29.99,6.63,95790.9,0.108677,0.227686,0.175567,0.175567,36.9
checked_test_shot,checked_test_shot.json,75.05,38.50,1.35,10700.8,5.74,10500.8,699.3,77.0,78.6,1.6,70.8,4.44,20.11,56.54,91853.0,0.700778,0.336003,0.256092,0.310183,77.0
chip_test_shot,chip_test_shot.json,24.68,17.94,20.35,3203.9,-0.00,3203.9,0.0,7.6,16.6,9.0,1.9,0.68,10.40,18.56,30200.0,0.648877,0.477282,0.000085,0.000085,7.6
drive_test_shot,drive_test_shot.json,150.00,12.50,1.50,2335.0,-9.90,2300.0,-400.0,245.0,256.8,11.8,80.0,5.76,30.70,33.64,183572.1,0.077783,0.207210,0.148598,0.153033,245.0
driver1,driver1.json,124.00,9.40,-9.50,2322.0,-24.80,2107.9,-973.2,158.3,158.3,-0.0,29.5,3.60,32.70,18.37,151752.9,0.093576,0.202282,0.160723,0.161429,158.3
driver2,driver2.json,124.60,13.20,-6.80,3994.0,-6.10,3971.3,-423.5,193.7,200.9,7.2,63.1,5.18,27.51,33.12,152487.2,0.160192,0.215946,0.192784,0.194989,193.7
driver3,driver3.json,119.10,16.00,-8.90,4935.0,-9.40,4868.9,-806.3,180.3,201.8,21.5,99.6,5.98,25.82,54.11,145756.2,0.207095,0.225115,0.264888,0.317581,180.3
driver4,driver4.json,119.00,15.50,-10.20,4454.0,-7.80,4412.0,-608.1,183.3,197.2,13.9,78.2,5.50,26.17,44.36,145633.8,0.187047,0.218968,0.216627,0.248903,183.3
flop_test_shot,flop_test_shot.json,68.05,45.00,0.45,12000.0,0.84,12000.0,140.3,62.7,63.1,0.4,69.2,4.27,19.49,59.71,83286.3,0.881310,0.370633,0.244725,0.287960,62.7
p_wedge_shot_1,p_wedge_shot_1.json,82.28,26.46,-3.15,4946.5,6.74,4912.3,580.3,100.2,109.5,9.3,55.1,4.17,21.54,47.23,100689.8,0.300469,0.248684,0.227664,0.268000,100.2
topped_test_shot,topped_test_shot.json,91.78,5.00,-0.89,2195.3,16.20,2108.2,612.3,55.6,109.2,53.6,4.2,1.38,33.45,6.60,112323.8,0.119540,0.202761,0.190066,0.190066,55.6
wedge_shot_1,wedge_shot_1.json,48.66,28.96,-1.27,5683.7,11.12,5577.0,1096.3,37.5,46.2,8.7,18.9,2.26,15.99,37.17,59555.9,0.583711,0.506866,0.287990,0.287990,37.5
wedge_shot_2,wedge_shot_2.json,51.83,37.03,2.37,5652.0,9.08,5581.2,891.7,43.0,52.8,9.9,31.1,2.85,16.64,47.81,63425.0,0.545045,0.470013,0.288228,0.288228,43.0
wedge_test_shot,wedge_test_shot.json,66.40,23.20,-1.40,6449.0,7.10,6399.0,793.0,65.6,79.4,13.8,28.0,3.00,18.64,35.24,81261.2,0.485321,0.335470,0.274986,0.310648,65.6
wedge_test_shot2,wedge_test_shot2.json,54.70,26.80,1.60,4976.0,5.70,4951.0,494.0,46.8,60.8,14.0,22.4,2.54,17.08,36.63,66942.6,0.454603,0.417682,0.308404,0.311338,46.8
wood1,wood1.json,124.20,6.70,-8.10,4528.0,4.80,4512.0,378.0,178.2,178.7,0.5,36.0,4.41,28.19,23.22,151997.7,0.182197,0.221541,0.224204,0.231332,178.2
wood2,wood2.json,118.80,14.50,-3.30,3026.0,11.20,2968.0,586.0,180.4,186.8,6.3,57.7,4.83,28.10,31.22,145389.1,0.127270,0.204394,0.179735,0.181207,180.4
wood_low_test_shot,wood_low_test_shot.json,114.46,6.95,-0.63,1932.5,-1.42,1931.9,-47.8,124.4,181.8,57.4,16.1,2.81,33.82,12.64,140079.8,0.084380,0.194759,0.165532,0.165574,124.4
s2_shot_10,shot_10.json,89.70,25.51,-3.13,6446.1,6.16,6408.9,691.6,119.1,127.1,8.0,66.2,4.75,22.19,47.57,109779.2,0.359143,0.236864,0.228748,0.288595,119.1
s2_shot_11,shot_11.json,78.51,29.59,4.31,7349.8,10.69,7222.3,1363.2,91.3,95.6,4.3,59.6,4.32,20.40,48.70,96081.2,0.467873,0.285922,0.274776,0.306881,91.3
s2_shot_12,shot_12.json,90.80,24.49,-3.88,7260.6,4.91,7233.9,621.5,120.6,125.9,5.2,66.4,4.83,21.91,46.82,111117.8,0.399648,0.249116,0.243274,0.311297,120.6
s2_shot_13,shot_13.json,95.22,19.62,-1.09,5609.6,12.20,5482.8,1185.8,127.1,131.7,4.6,52.5,4.35,23.25,39.40,116536.1,0.294416,0.226563,0.235762,0.270463,127.1
s2_shot_14,shot_14.json,87.13,22.37,-2.00,5660.3,11.37,5549.3,1115.6,111.1,115.3,4.2,50.0,4.15,22.18,40.65,106633.6,0.324668,0.237516,0.224737,0.268176,111.1
s2_shot_15,shot_15.json,88.14,14.21,-0.32,4985.2,19.37,4703.0,1653.5,100.7,100.8,0.1,27.0,3.24,23.79,25.51,107862.6,0.282684,0.235665,0.258753,0.281165,100.7
s2_shot_16,shot_16.json,94.07,19.14,-5.93,5291.1,4.96,5271.3,457.7,124.7,130.3,5.6,52.1,4.32,23.13,40.62,115119.9,0.281118,0.227609,0.262224,0.273136,124.7
s2_shot_17,shot_17.json,122.92,14.40,-1.33,4119.1,6.69,4091.0,480.2,191.2,199.5,8.4,68.2,5.28,27.12,36.19,150434.8,0.167473,0.216547,0.195165,0.199550,191.2
s2_shot_18,shot_18.json,105.67,20.50,-1.72,5666.8,8.18,5609.2,806.3,151.9,166.0,14.2,83.5,5.37,24.34,51.47,129323.3,0.268011,0.223441,0.290900,0.290900,151.9
s2_shot_19,shot_19.json,128.59,12.54,-8.40,2513.7,5.13,2503.6,224.6,197.8,204.3,6.5,56.4,4.88,29.73,28.77,157373.2,0.097695,0.206058,0.163440,0.165204,197.8
s2_shot_20,shot_20.json,120.88,15.02,-2.96,4245.1,9.62,4185.4,709.5,186.6,196.4,9.8,70.5,5.30,26.73,38.53,147934.6,0.175515,0.217146,0.199410,0.212815,186.6
s2_shot_21,shot_21.json,127.35,7.24,-11.46,2320.9,-19.47,2188.2,-773.4,160.7,215.3,54.6,24.9,3.53,33.40,16.13,155855.5,0.091079,0.204241,0.169690,0.170459,160.7
s2_shot_22,shot_22.json,123.29,14.01,-6.11,3104.1,9.97,3057.3,537.3,191.1,199.0,7.9,61.6,5.03,28.32,31.83,150883.1,0.125832,0.207300,0.179061,0.180859,191.1
s2_shot_23,shot_23.json,125.52,8.64,-14.33,3062.5,-23.87,2800.5,-1239.4,166.1,166.1,-0.0,31.1,3.83,31.68,19.20,153607.5,0.121944,0.208148,0.180025,0.180941,166.1
